2019/06/11 00:40:56 socat[88438] E execvp("./brop", "./brop"): Permission denied
2019/06/12 03:42:09 socat[52985] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:09 socat[52988] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:11 socat[53231] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:13 socat[53430] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:13 socat[53433] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:13 socat[53436] E write(6, 0xba65d0, 1): Broken pipe
2019/06/12 03:42:13 socat[53439] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:13 socat[53442] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:13 socat[53445] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:13 socat[53448] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:13 socat[53451] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:13 socat[53454] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:14 socat[53457] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:14 socat[53464] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:14 socat[53467] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:14 socat[53478] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:14 socat[53481] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:14 socat[53484] E write(6, 0xba65d0, 1): Broken pipe
2019/06/12 03:42:14 socat[53487] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:14 socat[53490] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:14 socat[53493] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:14 socat[53504] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:14 socat[53507] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:14 socat[53510] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:14 socat[53517] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:14 socat[53520] E write(6, 0xba65d0, 21): Broken pipe
2019/06/12 03:42:14 socat[53524] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:17 socat[53775] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:17 socat[53778] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:17 socat[53781] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:17 socat[53784] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:17 socat[53787] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:17 socat[53790] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:17 socat[53793] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:17 socat[53796] E write(6, 0xba65d0, 20): Broken pipe
